"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
0.5,0.1,50,1.5,"BSV","Children",0,"Perenial",17.8436247146966,17.2807200409695,18.4444364551956
0.75,0.1,50,1.5,"BSV","Children",0,"Perenial",15.4162465276577,14.7583209752949,16.1355697953991
1,0.1,50,1.5,"BSV","Children",0,"Perenial",14.3376793051542,13.4786448227372,15.3136651390124
0,0.3,5,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,5,1.5,"BSV","Children",0,"Perenial",76.8222120846404,63.0803761594884,98.218836890732
0.5,0.3,5,1.5,"BSV","Children",0,"Perenial",44.8844229715879,40.2508658611245,50.7235653578073
0.75,0.3,5,1.5,"BSV","Children",0,"Perenial",35.7523416593803,32.3489174710979,39.956118157586
1,0.3,5,1.5,"BSV","Children",0,"Perenial",32.128633516067,29.0137607529817,35.9927610219811
0,0.3,50,1.5,"BSV","Children",0,"Perenial",NA,NA,NA
0.25,0.3,50,1.5,"BSV","Children",0,"Perenial",35.8734109353022,33.4795192362118,38.6360079121053
0.5,0.3,50,1.5,"BSV","Children",0,"Perenial",22.6470693324786,21.8256591848177,23.5327250172673
0.75,0.3,50,1.5,"BSV","Children",0,"Perenial",18.8641927044134,17.9216571074722,19.9113713302593
1,0.3,50,1.5,"BSV","Children",0,"Perenial",18.2103280310292,16.9240473318857,19.708214143637
0,0.1,5,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"BSV","Children",1,"Seasonal",48.5052841925313,38.3687766775988,65.9206104243211
0.5,0.1,5,1,"BSV","Children",1,"Seasonal",27.5290815158357,23.7332849893419,32.7702026425057
0.75,0.1,5,1,"BSV","Children",1,"Seasonal",22.6803825393217,19.5550827083707,26.9946815318827
1,0.1,5,1,"BSV","Children",1,"Seasonal",20.3298239784262,17.5499568254019,24.1560844249068
0,0.1,50,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"BSV","Children",1,"Seasonal",26.2278324823717,23.4001756589198,29.832802300422
0.5,0.1,50,1,"BSV","Children",1,"Seasonal",16.4661969395804,15.4688627337952,17.6009976909491
0.75,0.1,50,1,"BSV","Children",1,"Seasonal",13.8925669975805,12.9956314908112,14.9224909362213
1,0.1,50,1,"BSV","Children",1,"Seasonal",12.8702544970885,11.8639085229087,14.063149195294
0,0.3,5,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"BSV","Children",1,"Seasonal",86.3737313719251,57.4634149987085,173.828054037564
0.5,0.3,5,1,"BSV","Children",1,"Seasonal",44.2952268151523,35.2110997650826,59.696301883803
0.75,0.3,5,1,"BSV","Children",1,"Seasonal",34.9523137885222,29.3514239510525,43.1948256477495
1,0.3,5,1,"BSV","Children",1,"Seasonal",29.7282558531417,24.2547675846182,38.3920564876592
0,0.3,50,1,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"BSV","Children",1,"Seasonal",35.9048153740898,32.0897679740992,40.7493750994827
0.5,0.3,50,1,"BSV","Children",1,"Seasonal",21.7336735598113,20.0414389709369,23.7380369848093
0.75,0.3,50,1,"BSV","Children",1,"Seasonal",17.8412572270899,16.6802123223804,19.1760260480988
1,0.3,50,1,"BSV","Children",1,"Seasonal",16.1324793857958,14.6120680463155,18.0060394050782
0,0.1,5,1.5,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"BSV","Children",1,"Seasonal",46.2548051116656,33.9545038067016,72.529060172789
0.5,0.1,5,1.5,"BSV","Children",1,"Seasonal",26.278164144682,22.1011567916825,32.4019741045998
0.75,0.1,5,1.5,"BSV","Children",1,"Seasonal",21.0323009931639,18.0399319060765,25.214799387046
1,0.1,5,1.5,"BSV","Children",1,"Seasonal",18.2403583313965,16.0467922072446,21.1285976402874
0,0.1,50,1.5,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"BSV","Children",1,"Seasonal",24.8931478195602,20.9709231941101,30.6200669148586
0.5,0.1,50,1.5,"BSV","Children",1,"Seasonal",16.0826047253619,14.4956263687265,18.0597866574718
0.75,0.1,50,1.5,"BSV","Children",1,"Seasonal",13.5609263062642,12.4527944889722,14.8855398577482
1,0.1,50,1.5,"BSV","Children",1,"Seasonal",12.3325619401855,11.4896387786068,13.3089571473948
0,0.3,5,1.5,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"BSV","Children",1,"Seasonal",83.1680794669435,54.6051558003487,174.386201366434
0.5,0.3,5,1.5,"BSV","Children",1,"Seasonal",41.7374105618246,35.0837518516253,51.5054575374146
0.75,0.3,5,1.5,"BSV","Children",1,"Seasonal",31.7143749001435,26.2042480056058,40.1588132574344
1,0.3,5,1.5,"BSV","Children",1,"Seasonal",25.8522182656369,20.496085749558,34.9980792025882
0,0.3,50,1.5,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"BSV","Children",1,"Seasonal",33.7307410029949,28.9257659961659,40.450063248806
0.5,0.3,50,1.5,"BSV","Children",1,"Seasonal",21.0080430913089,19.0370501404943,23.434303848739
0.75,0.3,50,1.5,"BSV","Children",1,"Seasonal",17.3141075107447,15.7136678325409,19.277526818493
1,0.3,50,1.5,"BSV","Children",1,"Seasonal",15.3425930031134,13.6641605632162,17.4911070978445
0,0.1,5,1,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"AIV","Children",1,"Seasonal",96.2080678436797,80.7933455611492,118.891638906795
0.5,0.1,5,1,"AIV","Children",1,"Seasonal",45.9270148358402,41.7514147008724,51.0306393763236
0.75,0.1,5,1,"AIV","Children",1,"Seasonal",32.4807217588602,30.4638503833593,34.7835827393867
1,0.1,5,1,"AIV","Children",1,"Seasonal",27.1961539442595,25.489910077133,29.1472102056065
0,0.1,50,1,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"AIV","Children",1,"Seasonal",53.5075027590673,48.4910441038953,59.6816427206537
0.5,0.1,50,1,"AIV","Children",1,"Seasonal",29.3271116414255,27.973104984487,30.8188640630382
0.75,0.1,50,1,"AIV","Children",1,"Seasonal",21.8801955630829,21.2621051355258,22.535297762046
1,0.1,50,1,"AIV","Children",1,"Seasonal",18.8029231547109,18.2564787829964,19.3830886863559
0,0.3,5,1,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"AIV","Children",1,"Seasonal",163.179388620411,116.747201446983,270.934126261387
0.5,0.3,5,1,"AIV","Children",1,"Seasonal",66.723083633348,57.8087724915352,78.8878628625243
0.75,0.3,5,1,"AIV","Children",1,"Seasonal",43.8396582273382,40.2928368406143,48.0711765420928
1,0.3,5,1,"AIV","Children",1,"Seasonal",34.3436025996807,31.7672600813222,37.374712650275
0,0.3,50,1,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"AIV","Children",1,"Seasonal",68.313462702756,61.2747817764418,77.1790828229242
0.5,0.3,50,1,"AIV","Children",1,"Seasonal",36.5430698011197,34.8031868070834,38.4660677585035
0.75,0.3,50,1,"AIV","Children",1,"Seasonal",26.5609004122301,25.7143054181966,27.4651382750036
1,0.3,50,1,"AIV","Children",1,"Seasonal",22.0133734112644,21.2767583842151,22.8028217305297
0,0.1,5,1.5,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"AIV","Children",1,"Seasonal",71.1152283419608,57.8383387006915,92.3037008543967
0.5,0.1,5,1.5,"AIV","Children",1,"Seasonal",38.8400357591714,35.1724416882325,43.3615458009212
0.75,0.1,5,1.5,"AIV","Children",1,"Seasonal",29.4396690627853,27.4848626196181,31.693829976921
1,0.1,5,1.5,"AIV","Children",1,"Seasonal",25.9046344369369,23.8453575278305,28.3532077470429
0,0.1,50,1.5,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"AIV","Children",1,"Seasonal",44.8048523353605,39.9543290823583,50.9958328562888
0.5,0.1,50,1.5,"AIV","Children",1,"Seasonal",26.0316490040247,24.726477624969,27.4822838607208
0.75,0.1,50,1.5,"AIV","Children",1,"Seasonal",20.1859998164604,19.590168021013,20.8192128106241
1,0.1,50,1.5,"AIV","Children",1,"Seasonal",17.8933139464973,17.229095968229,18.610799509703
0,0.3,5,1.5,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"AIV","Children",1,"Seasonal",94.2719496281012,73.4919901203571,131.43552069947
0.5,0.3,5,1.5,"AIV","Children",1,"Seasonal",50.2596726826118,44.2590685004762,58.1425923832718
0.75,0.3,5,1.5,"AIV","Children",1,"Seasonal",37.1327738858213,34.0684189892577,40.8028733005242
1,0.3,5,1.5,"AIV","Children",1,"Seasonal",31.4678496043366,28.764088632086,34.7326413886696
0,0.3,50,1.5,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"AIV","Children",1,"Seasonal",52.9907037598916,47.5381560659936,59.8560990995393
0.5,0.3,50,1.5,"AIV","Children",1,"Seasonal",30.8617790083382,29.2403436867439,32.6735949537686
0.75,0.3,50,1.5,"AIV","Children",1,"Seasonal",23.6841420528234,22.7562944909798,24.6908684374082
1,0.3,50,1.5,"AIV","Children",1,"Seasonal",20.4992221371302,19.6402029827809,21.4368214187261
0,0.1,5,1,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"AIV","18",1,"Seasonal",44.5578463710442,39.9902084715924,50.3034516310532
0.5,0.1,5,1,"AIV","18",1,"Seasonal",23.0880239904175,22.1326591910993,24.1295869492258
0.75,0.1,5,1,"AIV","18",1,"Seasonal",16.5285973733744,16.0472576649626,17.0397056974941
1,0.1,5,1,"AIV","18",1,"Seasonal",13.5401239588648,13.0596699581707,14.0572791415027
0,0.1,50,1,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"AIV","18",1,"Seasonal",66.0533459843074,58.4761681763215,75.8865065973884
0.5,0.1,50,1,"AIV","18",1,"Seasonal",33.0377576290213,31.0577553119626,35.2874100236664
0.75,0.1,50,1,"AIV","18",1,"Seasonal",23.4065441244486,22.4707373509069,24.4236824178911
1,0.1,50,1,"AIV","18",1,"Seasonal",18.6478713226509,18.0460571450696,19.2912098363714
0,0.3,5,1,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"AIV","18",1,"Seasonal",34.3373522091048,31.8243432211027,37.2812671479284
0.5,0.3,5,1,"AIV","18",1,"Seasonal",18.5429207919529,17.8927525734934,19.242120954069
0.75,0.3,5,1,"AIV","18",1,"Seasonal",13.4119021884755,13.0314724539821,13.8152117418257
1,0.3,5,1,"AIV","18",1,"Seasonal",11.0732797101742,10.7227950464899,11.4474504177473
0,0.3,50,1,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"AIV","18",1,"Seasonal",53.5679787262663,48.6224485238579,59.633472054412
0.5,0.3,50,1,"AIV","18",1,"Seasonal",26.8331964471652,25.684870291946,28.089007417802
0.75,0.3,50,1,"AIV","18",1,"Seasonal",18.9466426179514,18.3131490628007,19.6255345785454
1,0.3,50,1,"AIV","18",1,"Seasonal",15.1836593452473,14.6441432456407,15.7644495060143
0,0.1,5,1.5,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"AIV","18",1,"Seasonal",36.4850763677697,33.5137993840982,40.0344645367553
0.5,0.1,5,1.5,"AIV","18",1,"Seasonal",19.5726186574892,18.9104429647434,20.2828511483438
0.75,0.1,5,1.5,"AIV","18",1,"Seasonal",14.1510770864294,13.8085606958914,14.5110176700157
1,0.1,5,1.5,"AIV","18",1,"Seasonal",11.6612670152182,11.3097151441109,12.0353753522221
0,0.1,50,1.5,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"AIV","18",1,"Seasonal",53.771742355187,48.7167106838941,59.9972899468778
0.5,0.1,50,1.5,"AIV","18",1,"Seasonal",27.6312210277051,26.2744703515653,29.1357197659617
0.75,0.1,50,1.5,"AIV","18",1,"Seasonal",19.6955817054039,19.0391402945141,20.3989058214568
1,0.1,50,1.5,"AIV","18",1,"Seasonal",15.7943870964182,15.3789701077336,16.2328696328527
0,0.3,5,1.5,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"AIV","18",1,"Seasonal",28.5486340548123,26.933429653559,30.369925986438
0.5,0.3,5,1.5,"AIV","18",1,"Seasonal",15.8776197798952,15.4455203677173,16.3345915915824
0.75,0.3,5,1.5,"AIV","18",1,"Seasonal",11.5877745688445,11.3254162608253,11.8625764312735
1,0.3,5,1.5,"AIV","18",1,"Seasonal",9.6159316773189,9.36558858827691,9.88002572067943
0,0.3,50,1.5,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"AIV","18",1,"Seasonal",43.4859915671397,40.3974884392957,47.0858380880602
0.5,0.3,50,1.5,"AIV","18",1,"Seasonal",22.5385351726024,21.7922781963342,23.3377142160685
