"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"PEV",1,"1",0.3,150,"sesonality2","Children","0",10.8597399683368
"BSV",1,"1",0.3,150,"sesonality2","Children","0",16.0426789279465
"PEV",1,"1",0.3,150,"sesonality2","Children","0",12.1840020350842
"BSV",1,"1",0.3,150,"sesonality2","Children","0",17.3092279416939
"PEV",1.5,"1",0.3,150,"sesonality2","Children","0",11.6770782409423
"BSV",1.5,"1",0.3,150,"sesonality2","Children","0",17.2916217389838
"PEV",1.5,"1",0.3,150,"sesonality2","Children","0",13.6731450074658
"BSV",1.5,"1",0.3,150,"sesonality2","Children","0",19.143792102672
"PEV",1,"0",0.1,5,"sesonality2","Children","0",48.9399634306116
"BSV",1,"0",0.1,5,"sesonality2","Children","0",42.3285472260631
"PEV",1,"0",0.1,5,"sesonality2","Children","0",55.5872282537555
"BSV",1,"0",0.1,5,"sesonality2","Children","0",49.1336305209242
"PEV",1.5,"0",0.1,5,"sesonality2","Children","0",52.9727786688111
"BSV",1.5,"0",0.1,5,"sesonality2","Children","0",47.7784233650791
"PEV",1.5,"0",0.1,5,"sesonality2","Children","0",59.3675721255938
"BSV",1.5,"0",0.1,5,"sesonality2","Children","0",55.7193571483912
"PEV",1,"0.25",0.1,5,"sesonality2","Children","0",42.8809706380107
"BSV",1,"0.25",0.1,5,"sesonality2","Children","0",35.0210254006739
"PEV",1,"0.25",0.1,5,"sesonality2","Children","0",47.9147497415805
"BSV",1,"0.25",0.1,5,"sesonality2","Children","0",41.3963895059966
"PEV",1.5,"0.25",0.1,5,"sesonality2","Children","0",45.3046316539208
"BSV",1.5,"0.25",0.1,5,"sesonality2","Children","0",39.6956475995346
"PEV",1.5,"0.25",0.1,5,"sesonality2","Children","0",51.3831916710424
"BSV",1.5,"0.25",0.1,5,"sesonality2","Children","0",45.7766735038566
"PEV",1,"0.5",0.1,5,"sesonality2","Children","0",36.3193404907695
"BSV",1,"0.5",0.1,5,"sesonality2","Children","0",29.0813538881514
"PEV",1,"0.5",0.1,5,"sesonality2","Children","0",41.1386410396579
"BSV",1,"0.5",0.1,5,"sesonality2","Children","0",33.2948329295331
"PEV",1.5,"0.5",0.1,5,"sesonality2","Children","0",39.2510377826544
"BSV",1.5,"0.5",0.1,5,"sesonality2","Children","0",32.993892895575
"PEV",1.5,"0.5",0.1,5,"sesonality2","Children","0",43.6114834270866
"BSV",1.5,"0.5",0.1,5,"sesonality2","Children","0",37.7976332015978
"PEV",1,"0.75",0.1,5,"sesonality2","Children","0",29.0284098607697
"BSV",1,"0.75",0.1,5,"sesonality2","Children","0",24.7040473326948
"PEV",1,"0.75",0.1,5,"sesonality2","Children","0",33.1764298854556
"BSV",1,"0.75",0.1,5,"sesonality2","Children","0",28.1960338224129
"PEV",1.5,"0.75",0.1,5,"sesonality2","Children","0",31.3415251070785
"BSV",1.5,"0.75",0.1,5,"sesonality2","Children","0",27.4934890958452
"PEV",1.5,"0.75",0.1,5,"sesonality2","Children","0",35.6945794902433
"BSV",1.5,"0.75",0.1,5,"sesonality2","Children","0",32.1448743750856
"PEV",1,"1",0.1,5,"sesonality2","Children","0",22.3552120649807
"BSV",1,"1",0.1,5,"sesonality2","Children","0",22.2526276076
"PEV",1,"1",0.1,5,"sesonality2","Children","0",25.1665567420021
"BSV",1,"1",0.1,5,"sesonality2","Children","0",25.6459740517744
"PEV",1.5,"1",0.1,5,"sesonality2","Children","0",24.0890377600485
"BSV",1.5,"1",0.1,5,"sesonality2","Children","0",25.1527890873288
"PEV",1.5,"1",0.1,5,"sesonality2","Children","0",26.9416220737116
"BSV",1.5,"1",0.1,5,"sesonality2","Children","0",28.6415524203168
"PEV",1,"0",0.3,5,"sesonality2","Children","0",54.1734362025214
"BSV",1,"0",0.3,5,"sesonality2","Children","0",39.749619044402
"PEV",1,"0",0.3,5,"sesonality2","Children","0",59.9570460139165
"BSV",1,"0",0.3,5,"sesonality2","Children","0",47.0617044683948
"PEV",1.5,"0",0.3,5,"sesonality2","Children","0",57.4297148046197
"BSV",1.5,"0",0.3,5,"sesonality2","Children","0",44.5688144577744
"PEV",1.5,"0",0.3,5,"sesonality2","Children","0",63.5546510685385
"BSV",1.5,"0",0.3,5,"sesonality2","Children","0",53.7415471855102
"PEV",1,"0.25",0.3,5,"sesonality2","Children","0",48.2250412854878
"BSV",1,"0.25",0.3,5,"sesonality2","Children","0",33.9380912837087
"PEV",1,"0.25",0.3,5,"sesonality2","Children","0",53.7899563027635
"BSV",1,"0.25",0.3,5,"sesonality2","Children","0",38.6588170262635
"PEV",1.5,"0.25",0.3,5,"sesonality2","Children","0",51.3487972513244
"BSV",1.5,"0.25",0.3,5,"sesonality2","Children","0",37.6664558288223
"PEV",1.5,"0.25",0.3,5,"sesonality2","Children","0",56.8123884928565
"BSV",1.5,"0.25",0.3,5,"sesonality2","Children","0",43.755222660412
"PEV",1,"0.5",0.3,5,"sesonality2","Children","0",42.6287840142593
"BSV",1,"0.5",0.3,5,"sesonality2","Children","0",28.6059387849074
"PEV",1,"0.5",0.3,5,"sesonality2","Children","0",46.2429456815336
"BSV",1,"0.5",0.3,5,"sesonality2","Children","0",32.703343699933
"PEV",1.5,"0.5",0.3,5,"sesonality2","Children","0",44.7396749369543
"BSV",1.5,"0.5",0.3,5,"sesonality2","Children","0",32.2500284145256
"PEV",1.5,"0.5",0.3,5,"sesonality2","Children","0",49.6244715366924
"BSV",1.5,"0.5",0.3,5,"sesonality2","Children","0",37.2390306845583
"PEV",1,"0.75",0.3,5,"sesonality2","Children","0",35.3360278639549
"BSV",1,"0.75",0.3,5,"sesonality2","Children","0",25.613342079375
"PEV",1,"0.75",0.3,5,"sesonality2","Children","0",38.9171368696071
"BSV",1,"0.75",0.3,5,"sesonality2","Children","0",29.6404776556131
"PEV",1.5,"0.75",0.3,5,"sesonality2","Children","0",37.3916334172992
"BSV",1.5,"0.75",0.3,5,"sesonality2","Children","0",28.26100717742
"PEV",1.5,"0.75",0.3,5,"sesonality2","Children","0",41.6911252663187
"BSV",1.5,"0.75",0.3,5,"sesonality2","Children","0",33.4694100140351
"PEV",1,"1",0.3,5,"sesonality2","Children","0",29.2716574263795
"BSV",1,"1",0.3,5,"sesonality2","Children","0",24.1246559282068
"PEV",1,"1",0.3,5,"sesonality2","Children","0",32.1784256387404
"BSV",1,"1",0.3,5,"sesonality2","Children","0",29.153606648785
"PEV",1.5,"1",0.3,5,"sesonality2","Children","0",30.7479714220545
"BSV",1.5,"1",0.3,5,"sesonality2","Children","0",27.4139064389805
"PEV",1.5,"1",0.3,5,"sesonality2","Children","0",34.5037480765977
"BSV",1.5,"1",0.3,5,"sesonality2","Children","0",32.229815305839
"PEV",1,"0",0.1,50,"sesonality2","Children","0",35.5285481148342
"BSV",1,"0",0.1,50,"sesonality2","Children","0",42.7104878909822
"PEV",1,"0",0.1,50,"sesonality2","Children","0",42.076372856737
"BSV",1,"0",0.1,50,"sesonality2","Children","0",50.8221022359053
"PEV",1.5,"0",0.1,50,"sesonality2","Children","0",39.4968647757212
