"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
1,0.1,50,1.5,"BSV","Children",1,"Seasonal",4.10489833536732,3.82433101289296,4.42989188335625
0,0.3,5,1.5,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"BSV","Children",1,"Seasonal",27.6825296005299,18.1753486610871,58.0445191495498
0.5,0.3,5,1.5,"BSV","Children",1,"Seasonal",13.8923143438272,11.677641294053,17.1436128140367
0.75,0.3,5,1.5,"BSV","Children",1,"Seasonal",10.5561427841372,8.72209477150583,13.366877579071
1,0.3,5,1.5,"BSV","Children",1,"Seasonal",8.60492152716236,6.82213060700353,11.6491251174366
0,0.3,50,1.5,"BSV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"BSV","Children",1,"Seasonal",11.2272910742678,9.62795315870111,13.4638202589906
0.5,0.3,50,1.5,"BSV","Children",1,"Seasonal",6.99253581965319,6.33649000191795,7.80011771485446
0.75,0.3,50,1.5,"BSV","Children",1,"Seasonal",5.76300783599856,5.23030082809719,6.41653276351113
1,0.3,50,1.5,"BSV","Children",1,"Seasonal",5.10678841786148,4.548121487018,5.82192222166884
0,0.1,5,1,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"AIV","Children",1,"Seasonal",32.0228951174833,26.8920984391771,39.5731311145763
0.5,0.1,5,1,"AIV","Children",1,"Seasonal",15.2868258568175,13.8969756272932,16.9855693930088
0.75,0.1,5,1,"AIV","Children",1,"Seasonal",10.8112216525765,10.1399051822358,11.577729881069
1,0.1,5,1,"AIV","Children",1,"Seasonal",9.05225107286224,8.48432709697886,9.70166095527398
0,0.1,50,1,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"AIV","Children",1,"Seasonal",17.8099943929456,16.1402640576812,19.8650594291938
0.5,0.1,50,1,"AIV","Children",1,"Seasonal",9.76154122248894,9.31085954749713,10.2580716321441
0.75,0.1,50,1,"AIV","Children",1,"Seasonal",7.28283213009829,7.07710047600312,7.50088316759252
1,0.1,50,1,"AIV","Children",1,"Seasonal",6.25856073800117,6.07667650318435,6.45166907482832
0,0.3,5,1,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"AIV","Children",1,"Seasonal",54.3143268984146,38.8593542203856,90.1805358269166
