"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"PEV",1,0.5,0.1,5,"sesonality2","0.75","1",80.1089461796629
"PEV",1,0.5,0.1,5,"sesonality1","18","1",35.0998592672754
"PEV",1,0.5,0.1,5,"sesonality2","18","1",39.0024742053993
"PEV",1,0.75,0.1,5,"sesonality1","0.75","0",55.2365019011407
"PEV",1,0.75,0.1,5,"sesonality2","0.75","0",55.0012955978465
"PEV",1,0.75,0.1,5,"sesonality1","18","0",23.5605119756686
"PEV",1,0.75,0.1,5,"sesonality2","18","0",26.9976672522537
"PEV",1,0.75,0.1,5,"sesonality1","0.75","1",70.7487814329126
"PEV",1,0.75,0.1,5,"sesonality2","0.75","1",71.5457533518568
"PEV",1,0.75,0.1,5,"sesonality1","18","1",29.9252643184117
"PEV",1,0.75,0.1,5,"sesonality2","18","1",33.7518527703602
"PEV",1,1,0.1,5,"sesonality1","0.75","0",44.1183925059309
"PEV",1,1,0.1,5,"sesonality2","0.75","0",43.2381841010933
"PEV",1,1,0.1,5,"sesonality1","18","0",18.6201058415623
"PEV",1,1,0.1,5,"sesonality2","18","0",21.7185420735186
"PEV",1,1,0.1,5,"sesonality1","0.75","1",61.3765219342077
"PEV",1,1,0.1,5,"sesonality2","0.75","1",62.196946503151
"PEV",1,1,0.1,5,"sesonality1","18","1",24.5271228032742
"PEV",1,1,0.1,5,"sesonality2","18","1",28.5929326543205
