"Test_True","Test_predicted","iteration","seasonality","Coverage_reduced","Age","Blood_coverage"
0.0567236136339763,0.07233155614753,1,"sesonality1",0,18,1
0.0476295002160391,0.0501335910552845,1,"sesonality1",0,18,1
0.0610265794041817,0.0596561997376708,1,"sesonality1",0,18,1
0.0371153186840664,0.0327836841445198,1,"sesonality1",0,18,1
0.0561737973490775,0.0544214047363839,1,"sesonality1",0,18,1
0.0331247461815456,0.03180734836747,1,"sesonality1",0,18,1
0.0119593662303815,0.0123039620469752,1,"sesonality1",0,18,1
0.0469953970366704,0.0481371946449329,1,"sesonality1",0,18,1
0.0584743101323102,0.0583562504167977,1,"sesonality1",0,18,1
0.0275525949594768,0.0292407094365728,1,"sesonality1",0,18,1
0.0541396982744296,0.0557148070507225,1,"sesonality1",0,18,1
0.0756735985438373,0.0740288971555098,1,"sesonality1",0,18,1
0.0261969012556706,0.0263170907936169,1,"sesonality1",0,18,1
0.0865527878679159,0.0845281417621817,1,"sesonality1",0,18,1
0.0426409276458824,0.0453351934398099,1,"sesonality1",0,18,1
0.0456303667397506,0.048558684973676,1,"sesonality1",0,18,1
0.0102227866021288,0.0156098120946514,1,"sesonality1",0,18,1
0.0515813456519606,0.0511340884586992,1,"sesonality1",0,18,1
0.0325011270496556,0.0434926110391877,1,"sesonality1",0,18,1
0.139375918869624,0.133944378056121,1,"sesonality1",0,18,1
0.0338661010434626,0.0355358198201998,1,"sesonality1",0,18,1
0.0539196687664542,0.0533539559802659,1,"sesonality1",0,18,1
0.0615105655490288,0.06150126382612,1,"sesonality1",0,18,1
0.0697149225067656,0.0686717184080329,1,"sesonality1",0,18,1
0.00368463585130344,0.00543370756711649,1,"sesonality1",0,18,1
0.0628689499827007,0.0622739155075426,1,"sesonality1",0,18,1
0.0307095226561392,0.0312654983134252,1,"sesonality1",0,18,1
0.0902990346669597,0.089479716874703,1,"sesonality1",0,18,1
0.0552390971510905,0.0540802930907801,1,"sesonality1",0,18,1
0.0905997119134487,0.0925749683766303,1,"sesonality1",0,18,1
0.0310747022636962,0.0305415261431508,1,"sesonality1",0,18,1
0.263149449453383,0.267045797322065,1,"sesonality1",0,0.75,0
0.0660014442325284,0.0599097089405923,1,"sesonality1",0,0.75,0
0.0236116562434934,-0.0383022528783197,1,"sesonality1",0,0.75,0
0.290987798947325,0.359255872738415,1,"sesonality1",0,0.75,0
0.0587353838242415,0.101315573821074,1,"sesonality1",0,0.75,0
0.342923062896727,0.354433972411386,1,"sesonality1",0,0.75,0
0.15764674828879,0.182653655146157,1,"sesonality1",0,0.75,0
0.06004957773747,0.0520163429943558,1,"sesonality1",0,0.75,0
0.143803086687627,0.156193832054262,1,"sesonality1",0,0.75,0
0.24033988505317,0.236900468147063,1,"sesonality1",0,0.75,0
0.113372140122906,0.124309767018012,1,"sesonality1",0,0.75,0
0.241680794645241,0.253570709885277,1,"sesonality1",0,0.75,0
0.102692917831409,0.0935891029366329,1,"sesonality1",0,0.75,0
0.226553391023794,0.191629659498363,1,"sesonality1",0,0.75,0
0.0378032022266929,0.0693238133010467,1,"sesonality1",0,0.75,0
0.44024112285392,0.457719349793685,1,"sesonality1",0,0.75,0
0.224728140758483,0.205510706841423,1,"sesonality1",0,0.75,0
0.252486948997153,0.289378973140103,1,"sesonality1",0,0.75,0
0.371781894633691,0.404036274565001,1,"sesonality1",0,0.75,0
0.333866976356673,0.325128493789412,1,"sesonality1",0,0.75,0
0.212027128600362,0.2332988562364,1,"sesonality1",0,0.75,0
0.0802927401412238,0.0872264851713671,1,"sesonality1",0,0.75,0
0.0356395870176814,-0.00602450750680308,1,"sesonality1",0,0.75,0
0.0184272032186477,0.0281745284041503,1,"sesonality1",0,0.75,0
0.306787286579045,0.300034763007671,1,"sesonality1",0,0.75,0
0.220580266723089,0.220885683183518,1,"sesonality1",0,0.75,0
0.0424111492525269,0.0114669118502929,1,"sesonality1",0,0.75,0
0.0170629492386608,0.0415198265257801,1,"sesonality1",0,0.75,0
0.00100257634218855,-0.024426018369105,1,"sesonality1",0,0.75,0
0.137170711439452,0.143785710584506,1,"sesonality1",0,0.75,0
0.292453881025551,0.289802706900731,1,"sesonality1",0,0.75,0
0.255234668789387,0.240928847485453,1,"sesonality1",0,0.75,0
0.306136832906939,0.32356701641354,1,"sesonality1",0,0.75,0
0.0745819220517894,0.0889865472368878,1,"sesonality1",0,0.75,0
0.232164135348192,0.286361674414434,1,"sesonality1",0,0.75,0
0.0386378197727465,0.0256481289632064,1,"sesonality1",0,0.75,0
0.174464571669711,0.194513573395689,1,"sesonality1",0,0.75,0
0.332501276303931,0.439972713451985,1,"sesonality1",0,0.75,0
0.641631774849886,0.506998635040477,1,"sesonality1",0,0.75,0
0.00329837292232184,0.0456994420097156,1,"sesonality1",0,0.75,0
0.145081763654543,0.131813867512746,1,"sesonality1",0,0.75,0
0.176104305170419,0.176120763968236,1,"sesonality1",0,0.75,0
0.472844934392437,0.487761324581836,1,"sesonality1",0,0.75,0
0.324376169688159,0.337498002712339,1,"sesonality1",0,0.75,0
0.267909736821827,0.270091976976166,1,"sesonality1",0,0.75,0
0.0738217259037687,0.113175301897864,1,"sesonality1",0,0.75,0
0.233910004784695,0.268024495858451,1,"sesonality1",0,0.75,0
0.326188948113485,0.360480747546015,1,"sesonality1",0,0.75,0
0.269132271792223,0.257015522246886,1,"sesonality1",0,0.75,0
0.324318041413368,0.308428805421315,1,"sesonality1",0,0.75,0
0.260543693094417,0.265975956463735,1,"sesonality1",0,0.75,1
0.186733654031776,0.241081175325731,1,"sesonality1",0,0.75,1
0.289141341472964,0.315768134699074,1,"sesonality1",0,0.75,1
0.0137562491655763,0.0260524113403992,1,"sesonality1",0,0.75,1
0.672355171596935,0.46012071818816,1,"sesonality1",0,0.75,1
0.478164711583637,0.4188700619899,1,"sesonality1",0,0.75,1
0.159174221087082,0.16442824086735,1,"sesonality1",0,0.75,1
0.0619184366687911,0.0748056881868774,1,"sesonality1",0,0.75,1
0.237649424196712,0.231512377436291,1,"sesonality1",0,0.75,1
0.12116621566304,0.122981205609438,1,"sesonality1",0,0.75,1
0.697408070054136,0.715129983293096,1,"sesonality1",0,0.75,1
0.239759483916943,0.226119378825017,1,"sesonality1",0,0.75,1
0.476528585960099,0.479297951020819,1,"sesonality1",0,0.75,1
0.378087181692348,0.352984934596197,1,"sesonality1",0,0.75,1
0.0501169403809088,0.0352860148557958,1,"sesonality1",0,0.75,1
0.383900522772458,0.373386661447407,1,"sesonality1",0,0.75,1
0.239270942595563,0.22079552373299,1,"sesonality1",0,0.75,1
0.768188130518845,0.683928992984145,1,"sesonality1",0,0.75,1
0.104269976250725,0.0825833121194765,1,"sesonality1",0,0.75,1
0.383893193271586,0.384411909571983,1,"sesonality1",0,0.75,1
