"L","M","U","G","Vaccine_type","Range"
0.0733004965113493,0.125302398454636,0.1739131263807,"half_life","BSV",1.18965517241379
0.0737963729829489,0.126073282860326,0.173879678619585,"half_life","BSV",1.22413793103448
0.0762066503895062,0.128135591458925,0.17564232595625,"half_life","BSV",1.25862068965517
0.0776558060547712,0.129420006537451,0.176183434745111,"half_life","BSV",1.29310344827586
0.0776317327515007,0.128615434013974,0.174636875592776,"half_life","BSV",1.32758620689655
0.0794656007012119,0.130292752778725,0.177812479951098,"half_life","BSV",1.36206896551724
0.0795129159658722,0.131108991072919,0.178257878809703,"half_life","BSV",1.39655172413793
0.0800143230276583,0.131321303604403,0.177348286925982,"half_life","BSV",1.43103448275862
0.0817612250869679,0.131721372668948,0.177182634657254,"half_life","BSV",1.46551724137931
NA,NA,NA,"half_life","BSV",1.5
0.0231934809136116,0.0423826716003178,0.0646136610654543,"Coverage","AIV",60
0.0233803086629907,0.0434754901646327,0.0657091263276276,"Coverage","AIV",61.3793103448276
0.0234471911764044,0.0436783349331217,0.0668398731228103,"Coverage","AIV",62.7586206896552
0.0242669086304034,0.0443783394364166,0.0677041665794655,"Coverage","AIV",64.1379310344828
0.0247323227578451,0.045483771967141,0.0692131435835201,"Coverage","AIV",65.5172413793103
0.0260492099894117,0.0472993033144884,0.0718560832439306,"Coverage","AIV",66.8965517241379
0.0257977756085409,0.0480353443895707,0.0723130532089338,"Coverage","AIV",68.2758620689655
0.0261493003744733,0.0487751803416449,0.0739303176883911,"Coverage","AIV",69.6551724137931
0.0262110250295094,0.0498773543075669,0.0759451913726787,"Coverage","AIV",71.0344827586207
0.026859186046627,0.0503737799577013,0.0771766827894218,"Coverage","AIV",72.4137931034483
0.0283379579551868,0.0527296440262194,0.0786015179456735,"Coverage","AIV",73.7931034482759
0.0285966428434692,0.0534535351595722,0.0800263424069386,"Coverage","AIV",75.1724137931034
0.0285842691181364,0.0539049470164028,0.0813994581164459,"Coverage","AIV",76.551724137931
0.0284328036841961,0.0542822330676507,0.0817008792921389,"Coverage","AIV",77.9310344827586
0.0290471403645672,0.0546671038082503,0.0828103469346203,"Coverage","AIV",79.3103448275862
0.0297960412784137,0.0566566484567958,0.0854713884484928,"Coverage","AIV",80.6896551724138
0.030143721098023,0.0569229876931804,0.0858291594590885,"Coverage","AIV",82.0689655172414
0.031201424267989,0.0593442643024924,0.0890732496760386,"Coverage","AIV",83.448275862069
0.031434345181329,0.0602754450214192,0.0901697104456532,"Coverage","AIV",84.8275862068966
0.0318150662085991,0.0602477812534846,0.0904115244442447,"Coverage","AIV",86.2068965517241
0.0330383174626136,0.0618946444884479,0.0924423125056184,"Coverage","AIV",87.5862068965517
0.0329650739039624,0.0623197572107447,0.093544555911126,"Coverage","AIV",88.9655172413793
0.0330949384459747,0.0632214115608807,0.0953361438077149,"Coverage","AIV",90.3448275862069
0.0332881858821677,0.0632120328091953,0.0957621560073767,"Coverage","AIV",91.7241379310345
0.0341827359638664,0.0638869367935722,0.0966084907419889,"Coverage","AIV",93.1034482758621
0.0340677918068698,0.0655543759924961,0.0989836976689697,"Coverage","AIV",94.4827586206897
0.035675716440626,0.0670098848044132,0.100343818851359,"Coverage","AIV",95.8620689655172
0.0356243854874446,0.067556150820327,0.101766781186959,"Coverage","AIV",97.2413793103448
0.0372979498577584,0.0701022729720479,0.103570623594889,"Coverage","AIV",98.6206896551724
NA,NA,NA,"Coverage","AIV",100
0.0180851246383215,0.0363164263067285,0.0560744162046285,"initialEfficacy","AIV",0.5
