"Setting","Factor","First","Effect","Coverage_reduced","Seasonality","Vaccine_Type","SPAQ","half_life_short","deployment"
"Spread_sesonality1_Coverage_reduced_0","Degree_resistance",0.698505044593253,"Total","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Access",0.0357021307638571,"Total","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","eir",0.0674942281636127,"Total","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","half_life",0.077788722273278,"Total","0","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Coverage",0.0458681796916865,"First","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","initialEfficacy",0.108926314731668,"First","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Degree_resistance",0.700102185220627,"First","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Access",0.0236806691839281,"First","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","eir",0.0493008890148306,"First","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","half_life",0.0721217621572593,"First","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Coverage",0.0598431942746537,"Total","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","initialEfficacy",0.13218887530408,"Total","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Degree_resistance",0.699759522002801,"Total","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Access",0.0369655756670842,"Total","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","eir",0.0649354333133093,"Total","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","half_life",0.0831010479211997,"Total","0.2","sesonality1","AIV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Coverage",0.0528147441103565,"First","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","initialEfficacy",0.060812677464942,"First","0","sesonality1","BSV","0",1,"Perennial + short half-life"
