"Survey","nHost_1","nHost_2","nHost_3","nHost_4","nHost_5","nHost_6","nHost_7","nHost_8","nInfect_1","nInfect_2","nInfect_3","nInfect_4","nInfect_5","nInfect_6","nInfect_7","nInfect_8","nExpectd_1","nExpectd_2","nExpectd_3","nExpectd_4","nExpectd_5","nExpectd_6","nExpectd_7","nExpectd_8","nPatent_1","nPatent_2","nPatent_3","nPatent_4","nPatent_5","nPatent_6","nPatent_7","nPatent_8","nTransmit","nTreatments1_1","nTreatments1_2","nTreatments1_3","nTreatments1_4","nTreatments1_5","nTreatments1_6","nTreatments1_7","nTreatments1_8","nUncomp_1","nUncomp_2","nUncomp_3","nUncomp_4","nUncomp_5","nUncomp_6","nUncomp_7","nUncomp_8","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","innoculationsPerAgeGroup_S1","innoculationsPerAgeGroup_R1","innoculationsPerAgeGroup_S2","innoculationsPerAgeGroup_R2","innoculationsPerAgeGroup_S3","innoculationsPerAgeGroup_R3","innoculationsPerAgeGroup_S4","innoculationsPerAgeGroup_R4","innoculationsPerAgeGroup_S5","innoculationsPerAgeGroup_R5","innoculationsPerAgeGroup_S6","innoculationsPerAgeGroup_R6","innoculationsPerAgeGroup_S7","innoculationsPerAgeGroup_R7","innoculationsPerAgeGroup_S8","innoculationsPerAgeGroup_R8","Vector_Nv","inputEIR","simulatedEIR","nMDAs_1","nMDAs_2","nMDAs_3","nMDAs_4","nMDAs_5","nMDAs_6","nMDAs_7","nMDAs_8","nTreatDiagnostics_1","nTreatDiagnostics_2","nTreatDiagnostics_3","nTreatDiagnostics_4","nTreatDiagnostics_5","nTreatDiagnostics_6","nTreatDiagnostics_7","nTreatDiagnostics_8","nInfectByGenotype_S1","nInfectByGenotype_R1","nInfectByGenotype_S2","nInfectByGenotype_R2","nInfectByGenotype_S3","nInfectByGenotype_R3","nInfectByGenotype_S4","nInfectByGenotype_R4","nInfectByGenotype_S5","nInfectByGenotype_R5","nInfectByGenotype_S6","nInfectByGenotype_R6","nInfectByGenotype_S7","nInfectByGenotype_R7","nInfectByGenotype_S8","nInfectByGenotype_R8","nPatentByGenotype_S1","nPatentByGenotype_R1","nPatentByGenotype_S2","nPatentByGenotype_R2","nPatentByGenotype_S3","nPatentByGenotype_R3","nPatentByGenotype_S4","nPatentByGenotype_R4","nPatentByGenotype_S5","nPatentByGenotype_R5","nPatentByGenotype_S6","nPatentByGenotype_R6","nPatentByGenotype_S7","nPatentByGenotype_R7","nPatentByGenotype_S8","nPatentByGenotype_R8","nHostDrugConcNonZero_A1","nHostDrugConcNonZero_B1","nHostDrugConcNonZero_A2","nHostDrugConcNonZero_B2","nHostDrugConcNonZero_A3","nHostDrugConcNonZero_B3","nHostDrugConcNonZero_A4","nHostDrugConcNonZero_B4","nHostDrugConcNonZero_A5","nHostDrugConcNonZero_B5","nHostDrugConcNonZero_A6","nHostDrugConcNonZero_B6","nHostDrugConcNonZero_A7","nHostDrugConcNonZero_B7","nHostDrugConcNonZero_A8","nHostDrugConcNonZero_B8","sumLogDrugConcNonZero_A1","sumLogDrugConcNonZero_B1","sumLogDrugConcNonZero_A2","sumLogDrugConcNonZero_B2","sumLogDrugConcNonZero_A3","sumLogDrugConcNonZero_B3","sumLogDrugConcNonZero_A4","sumLogDrugConcNonZero_B4","sumLogDrugConcNonZero_A5","sumLogDrugConcNonZero_B5","sumLogDrugConcNonZero_A6","sumLogDrugConcNonZero_B6","sumLogDrugConcNonZero_A7","sumLogDrugConcNonZero_B7","sumLogDrugConcNonZero_A8","sumLogDrugConcNonZero_B8","Incidence"
3062,4785,49,1626,3228,3149,3077,2271,81815,766,15,401,824,733,703,561,56620,1456.73,31.4808,1108.45,2877.32,3062.32,3057.13,2267.38,81813.3,406,11,192,394,332,337,263,24854,0.0301771,14,1,6,7,6,6,13,262,30,1,14,35,22,34,27,1155,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6227,12.9067,0.138562,0.14168,4.88969,4.99972,11.2764,11.5301,12.7157,13.0018,13.665,13.9724,10.8629,11.1073,818.33,836.743,223583,0.0113574,0.023711,0,0,0,0,0,0,0,0,14,1,6,7,6,6,13,262,412,427,9,8,246,212,446,476,444,375,389,382,331,290,39455,39550,169,171,3,6,82,66,148,152,156,118,146,129,114,96,9535,9684,35,192,1,7,10,111,18,212,33,210,27,223,24,160,603,4743,-836.555,-680.797,-31.4718,-23.9652,-198.639,-457.097,-491.486,-864.073,-689.995,-792.194,-559.17,-883.201,-543.88,-617.495,-13516.8,-19028.3,8.96343139950509
3063,4785,49,1627,3227,3149,3077,2271,81815,724,16,385,810,723,684,535,55851,1412.09,31.5301,1105.83,2871.25,3060.97,3056.81,2267.32,81813.3,384,8,189,375,307,318,246,23294,0.0276527,13,0,7,11,9,8,5,250,27,0,17,34,17,26,17,1063,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0586,11.2729,0.121393,0.123745,4.2865,4.36955,9.8727,10.064,11.1435,11.3594,11.9678,12.1997,9.52099,9.70546,716.942,730.832,218037,0.00943831,0.0207409,0,0,0,0,0,0,0,0,13,0,7,11,9,8,5,253,391,407,5,11,240,201,440,468,434,373,381,370,314,276,38690,38785,143,166,3,2,74,66,129,141,148,103,133,123,103,81,8773,8846,27,180,1,4,12,108,12,194,24,190,21,200,24,150,550,4460,-602.903,-656.018,-11.8558,-7.16888,-241.653,-439.448,-241.65,-810.58,-643.145,-747.278,-546.893,-815.9,-504.155,-547.138,-12377.8,-18159.5,7.58867198240308
3064,4785,49,1626,3228,3149,3077,2271,81815,678,14,386,791,705,662,517,54995,1367.55,31.5716,1101.83,2866.24,3059.44,3056.45,2267.25,81813.3,349,9,182,336,297,292,235,21718,0.0252028,6,0,5,6,10,6,13,195,37,3,12,28,17,29,24,972,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74564,9.89242,0.106958,0.108569,3.77434,3.83118,8.70373,8.83481,9.81843,9.9663,10.5411,10.6999,8.38887,8.51522,631.688,641.202,214230,0.00796424,0.0182355,0,0,0,0,0,0,0,0,6,0,5,6,10,6,13,197,368,381,7,11,235,204,429,457,421,368,366,361,299,272,37851,37900,139,151,4,4,74,66,131,146,129,89,136,112,93,73,7897,8035,24,177,0,6,14,101,19,184,15,174,13,179,18,140,512,4192,-546.232,-703.302,0,-29.2148,-325.02,-392.255,-364.247,-768.943,-297.336,-684.796,-253.452,-741.438,-472.264,-534.304,-11390.1,-17277.7,8.24855650261204
3065,4785,49,1625,3229,3149,3077,2271,81815,651,13,382,786,685,645,503,54145,1323.23,31.6065,1098.06,2860.77,3057.82,3056.07,2267.18,81813.2,335,7,159,324,279,289,193,20136,0.0228457,8,0,5,9,5,5,3,181,16,1,7,19,18,14,12,841,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62207,8.72653,0.0946466,0.0957933,3.33772,3.37816,7.70668,7.80005,8.68853,8.79379,9.32785,9.44086,7.42323,7.51317,558.963,565.735,211848,0.00682887,0.0161129,0,0,0,0,0,0,0,0,8,0,5,9,5,5,3,181,355,363,6,8,231,203,422,454,404,363,351,353,289,264,36979,37008,129,136,3,0,65,57,108,118,124,84,123,111,81,61,7226,7310,17,155,0,6,11,102,18,167,19,165,14,166,18,141,445,3907,-421.432,-642.426,0,-24.2215,-250.109,-421.901,-451.507,-731.722,-404.126,-664.054,-324.94,-712.784,-314.059,-544.327,-10327.3,-16524.4,4.78416277151498
3066,4785,49,1625,3230,3148,3076,2272,81815,620,14,369,767,668,634,486,53285,1279.24,31.6357,1095.2,2854.97,3055.1,3054.66,2268.1,81813.2,315,7,150,297,257,265,176,18523,0.0205792,8,0,2,10,14,12,5,157,27,0,8,16,19,23,10,755,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64948,7.74243,0.0839526,0.0849726,2.96064,2.99661,6.83403,6.91706,7.70444,7.79805,8.27652,8.37708,6.58443,6.66443,495.821,501.845,210666,0.00595189,0.0142926,0,0,0,0,0,0,0,0,8,0,2,10,14,12,5,158,339,340,9,9,223,192,414,439,386,362,353,337,280,253,35992,36127,120,123,2,2,58,54,101,117,109,77,114,106,77,57,6545,6567,13,137,1,1,8,100,17,161,14,152,12,152,15,130,378,3610,-255.726,-563.325,-32.1219,-0.569361,-174.832,-442.134,-341.118,-714.667,-345.181,-653.599,-280.941,-675.758,-416.83,-541.851,-8481.16,-15564.1,5.66400879846027
3067,4785,49,1625,3230,3148,3077,2271,81815,597,8,368,744,635,612,471,52297,1235.64,31.6598,1092.59,2847.9,3053.24,3055.21,2267.01,81813.2,305,3,142,273,224,254,147,16911,0.0184357,9,0,6,7,3,8,2,155,22,0,10,17,19,23,6,680,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79396,6.8987,0.0745947,0.0757446,2.63057,2.67113,6.07611,6.16978,6.84353,6.94904,7.3541,7.46747,5.85054,5.94073,440.553,447.345,210541,0.00527292,0.0127201,0,0,0,0,0,0,0,0,9,0,6,7,3,9,2,156,325,328,5,4,224,188,395,430,373,339,335,328,271,243,35072,35179,113,128,2,0,60,37,92,114,103,68,94,95,67,54,5840,5930,16,120,0,4,6,88,19,150,20,144,17,150,8,121,338,3298,-352.143,-465.814,0,-26.2404,-150.374,-406.874,-405.713,-661.397,-356.81,-585.485,-301.364,-660.499,-154.896,-525.48,-7673.18,-14455.1,5.33406653835579
3068,4785,49,1625,3230,3149,3077,2270,81815,563,14,352,718,620,594,449,51304,1192.47,31.679,1090.16,2840.4,3052.21,3054.75,2265.92,81813.1,278,5,122,266,215,226,142,15550,0.0165462,4,1,5,5,3,2,2,142,26,1,4,16,8,20,9,580,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0578,6.15877,0.0665119,0.0676205,2.34556,2.38466,5.41596,5.50623,6.10394,6.20568,6.55533,6.6646,5.21439,5.3013,392.82,399.368,211405,0.00474654,0.0113488,0,0,0,0,0,0,0,0,4,1,5,5,3,2,2,143,313,303,6,10,214,181,387,407,364,331,330,311,248,239,34078,34170,92,110,2,4,43,35,92,99,103,55,84,91,49,45,5204,5289,16,115,1,3,8,83,17,137,17,133,20,138,7,105,312,3011,-351.404,-460.237,-12.2443,-8.90711,-134.871,-385.758,-401.408,-607.226,-479.834,-576.327,-475.92,-610.746,-182.512,-473.17,-6885.36,-13314.4,4.61919164146274
3069,4785,49,1626,3228,3149,3079,2269,81815,536,14,343,698,604,571,429,50287,1149.76,31.6937,1088.6,2830.74,3050.1,3056.25,2264.82,81813.1,247,5,111,251,199,208,130,14161,0.0147887,1,0,2,6,4,6,3,113,9,0,1,17,13,25,10,557,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4178,5.50049,0.0594725,0.0603803,2.09731,2.12932,4.8398,4.91367,5.45959,5.54292,5.86538,5.95491,4.66053,4.73167,351.246,356.607,213264,0.00433854,0.0101406,0,0,0,0,0,0,0,0,1,0,2,6,4,6,3,113,297,289,8,6,204,181,377,394,353,318,315,303,240,224,33085,33234,86,103,2,2,36,30,78,89,80,58,70,89,46,39,4715,4744,12,106,0,1,13,79,12,120,6,120,10,118,4,92,297,2716,-302.85,-445.823,0,-5.26324,-294.321,-351.286,-282.018,-533.693,-131.333,-550.598,-277.127,-535.436,-86.9346,-423.033,-6665.15,-11996,4.12427825130602
3070,4785,49,1625,3229,3149,3079,2270,81814,512,11,340,676,594,554,416,49262,1107.52,31.704,1085.83,2823.48,3047.93,3055.73,2265.72,81812.1,234,2,108,221,195,195,111,12910,0.0131652,4,0,1,3,1,4,5,104,12,0,7,12,12,10,9,495,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86178,4.91161,0.0533689,0.053916,1.88328,1.90258,4.34293,4.38744,4.89922,4.94944,5.26509,5.31905,4.18217,4.22504,315.196,318.427,216195,0.00402303,0.00907727,0,0,0,0,0,0,0,0,4,0,1,3,1,4,5,106,283,278,6,5,199,180,370,375,336,322,304,294,232,219,32104,32239,80,99,2,0,36,31,78,66,73,62,74,71,42,38,4327,4330,5,94,0,2,8,69,11,102,7,104,8,96,5,82,255,2442,-139.732,-434.276,0,-12.6917,-214.493,-319.767,-230.589,-409.72,-142.919,-476.833,-134.468,-397.69,-99.1509,-391.447,-5899.82,-10876.9,3.40921588034752
3071,4785,49,1625,3229,3148,3079,2270,81815,472,20,337,662,582,544,400,48207,1065.77,31.71,1083.88,2815.05,3044.69,3055.19,2265.61,81813,207,7,96,209,182,173,116,11804,0.0117443,9,0,2,4,8,3,2,100,14,1,7,16,10,13,8,446,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38084,4.38711,0.0480996,0.0481685,1.69625,1.69868,3.91529,3.9209,4.4155,4.42183,4.74523,4.75202,3.77089,3.77629,284.072,284.479,220353,0.00378028,0.00814516,0,0,0,0,0,0,0,0,9,0,2,4,8,3,2,100,263,258,9,11,196,178,359,367,333,309,296,291,227,206,31156,31233,69,91,4,2,31,26,76,76,72,53,63,66,39,34,3944,3886,5,85,0,2,3,60,9,89,5,90,10,87,8,74,217,2182,-80.2457,-398.924,0,-14.602,-75.3702,-285.71,-225.924,-357.431,-138.849,-433.842,-237.206,-363.538,-155.109,-348.012,-4867.6,-9732.59,3.79433599120154
3072,4785,49,1625,3230,3148,3078,2269,81816,446,16,343,652,553,529,389,47119,1024.52,31.7115,1082.08,2807.3,3042.4,3053.65,2264.49,81814,202,0,79,211,164,164,106,10779,0.0105842,7,0,1,3,3,6,1,83,10,0,1,8,6,10,7,388,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95894,3.9271,0.0434491,0.0430997,1.53224,1.51992,3.53791,3.50946,3.9874,3.95534,4.28503,4.25058,3.40629,3.3789,256.611,254.548,225971,0.00359511,0.00732281,0,0,0,0,0,0,0,0,7,0,1,3,3,6,1,83,246,246,8,9,197,179,354,363,311,293,286,287,220,200,30165,30268,63,77,0,0,30,24,69,65,63,50,59,63,31,37,3471,3528,13,75,0,3,3,53,7,78,9,85,7,78,7,60,204,1962,-235.959,-314.945,0,-11.6765,-56.1664,-254.724,-142.276,-304.744,-127.22,-388.353,-162.325,-333.88,-182.309,-277.449,-4528.63,-8737.39,2.30972283326001
3073,4785,49,1625,3231,3146,3079,2269,81816,420,14,342,637,531,508,374,45981,983.772,31.7081,1080.38,2799.46,3038.1,3054.08,2264.37,81813.9,184,4,80,191,146,146,93,9747,0.00958923,3,0,1,6,2,3,2,78,13,2,5,9,11,9,5,349,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57983,3.52637,0.0392884,0.0387017,1.38552,1.36482,3.20018,3.15239,3.60447,3.55064,3.87468,3.81682,3.07869,3.03271,232.038,228.573,233376,0.00345573,0.00659867,0,0,0,0,0,0,0,0,3,0,1,6,2,3,2,78,234,227,5,11,191,182,342,356,294,286,277,267,213,187,29150,29331,55,68,1,1,27,21,60,63,59,44,52,56,32,32,3100,3099,15,70,1,3,3,47,7,77,11,66,9,71,3,51,183,1753,-358.122,-290.798,-11.7659,-7.76489,-76.4236,-228.376,-162.062,-327.364,-289.713,-275.493,-166.376,-279.407,-75.041,-244.642,-4194.17,-7821.71,2.96964364276287
3074,4785,49,1625,3231,3145,3079,2270,81816,398,14,338,614,521,494,367,44846,943.539,31.6995,1078.78,2790.4,3034.7,3053.49,2265.25,81813.9,167,4,80,173,147,143,72,8790,0.00864022,4,0,2,1,3,3,3,52,12,0,8,5,6,15,4,322,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24002,3.1929,0.0355591,0.0350419,1.254,1.23576,2.89741,2.85527,3.26024,3.21282,3.50799,3.45698,2.78643,2.7459,210.014,206.959,242997,0.00335293,0.00597348,0,0,0,0,0,0,0,0,4,0,2,1,3,3,3,52,217,213,10,7,180,188,329,344,290,278,269,258,207,185,28190,28344,54,59,1,1,31,21,57,64,59,33,49,48,30,35,2806,2850,9,60,0,1,3,43,9,76,5,61,9,68,3,41,161,1568,-226.837,-244.921,0,-6.95814,-75.4844,-206.67,-166.372,-326.588,-119.347,-273.385,-225.568,-278.268,-55.3139,-184.359,-3593.52,-6990.97,2.74967003959525
3075,4785,49,1625,3230,3147,3078,2270,81816,375,8,332,603,504,479,347,43694,903.844,31.6846,1077.28,2780.24,3034.13,3051.91,2265.12,81813.9,150,4,82,163,120,127,80,8186,0.00762558,1,0,2,3,0,6,3,58,10,0,1,11,5,9,4,316,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9538,2.91312,0.0324178,0.0319714,1.14321,1.12747,2.64059,2.60423,2.97313,2.93219,3.19704,3.15301,2.54138,2.50638,191.457,188.821,255395,0.00327943,0.00544791,0,0,0,0,0,0,0,0,1,0,2,3,0,6,3,59,208,196,3,5,179,182,323,338,281,266,255,252,194,171,27240,27353,48,51,1,1,28,19,55,55,52,35,39,48,30,27,2536,2569,7,56,0,0,3,37,6,67,6,58,6,65,5,39,130,1365,-144.036,-229.875,0,0,-55.5953,-176.186,-170.33,-309.419,-130.903,-263.059,-131.277,-276.867,-98.8698,-174.108,-3119.37,-6081.65,2.1997360316762
3076,4785,49,1625,3231,3147,3076,2271,81816,359,12,328,595,487,468,331,42530,864.698,31.6617,1075.84,2771.92,3031.62,3049.32,2265.99,81813.8,148,3,75,167,119,121,73,7372,0.00681651,0,1,0,4,4,4,2,60,3,0,2,7,10,9,7,288,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71795,2.67428,0.0298356,0.0293563,1.05217,1.03526,2.43026,2.39121,2.73724,2.69327,2.94145,2.89419,2.33893,2.30135,176.211,173.38,271296,0.00322951,0.00500817,0,0,0,0,0,0,0,0,0,1,0,4,4,4,2,60,199,184,8,6,173,183,319,331,274,253,244,248,186,160,26303,26409,47,57,1,3,29,22,56,47,43,32,38,46,22,26,2281,2352,5,45,0,3,3,31,5,62,3,47,9,65,6,32,110,1225,-138.858,-191.995,0,-10.0206,-55.4201,-146.035,-99.7614,-292.599,-94.8583,-212.6,-167.079,-271.687,-130.684,-120.694,-2362.16,-5487.41,2.08974923009239
3077,4785,49,1625,3230,3147,3077,2271,81816,348,8,321,573,477,458,319,41393,826.106,31.6289,1074.47,2761.61,3029.01,3049.69,2265.86,81813.8,135,1,73,159,111,105,69,6693,0.00618822,0,0,2,1,2,2,0,50,9,0,4,9,3,4,1,229,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51472,2.46668,0.0276047,0.0270773,0.973485,0.954886,2.24856,2.2056,2.53254,2.48416,2.72057,2.66859,2.16498,2.12361,163.034,159.919,291637,0.00319872,0.0046266,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,50,192,180,6,3,175,175,306,321,263,251,236,245,181,150,25382,25483,48,48,0,0,27,23,43,56,45,34,33,39,25,19,2088,2140,1,34,0,3,3,30,7,57,4,42,10,66,5,29,118,1109,-31.5286,-139.07,0,-21.6584,-75.8361,-142.482,-142.688,-261.4,-48.0047,-176.961,-238.147,-298.518,-119.083,-110.241,-2577.36,-4951.24,1.64980202375715
3078,4785,49,1625,3229,3148,3077,2271,81816,327,10,311,557,462,438,304,40196,788.058,31.5839,1073.14,2751.19,3027.33,3049.07,2265.73,81813.7,143,3,68,149,108,95,64,6006,0.0056173,5,0,0,4,2,2,2,43,6,0,0,5,5,3,2,229,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33707,2.28477,0.0256545,0.0250804,0.904714,0.884467,2.08902,2.04227,2.35357,2.3009,2.52916,2.47256,2.012,1.96698,151.516,148.125,317636,0.00318372,0.00429264,0,0,0,0,0,0,0,0,5,0,0,4,2,2,2,43,183,168,4,6,171,168,295,315,253,244,226,235,170,143,24440,24593,43,42,1,1,21,20,49,44,39,24,29,31,18,23,1912,1903,0,30,0,1,3,30,5,42,6,38,6,55,2,25,110,1002,0,-134.302,0,-6.72693,-56.269,-147.2,-138.495,-181.239,-150.847,-150.129,-150.874,-241.221,-63.5351,-100.546,-2519.66,-4501.86,1.15486141663
3079,4785,49,1625,3229,3148,3077,2271,81816,308,6,305,543,456,424,292,39017,750.582,31.524,1071.84,2741.55,3024.65,3048.44,2265.6,81813.7,122,1,62,147,97,89,66,5470,0.00511922,1,0,0,0,0,1,3,31,7,0,1,0,5,4,9,213,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19181,2.14161,0.0240601,0.023509,0.848485,0.829052,1.95854,1.91368,2.20797,2.1574,2.37198,2.31765,1.88697,1.84375,142.1,138.846,350887,0.00318222,0.00402478,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,31,172,159,3,4,165,166,288,306,249,239,214,230,168,133,23578,23678,40,38,0,1,19,17,40,38,36,26,20,26,19,23,1737,1682,4,30,0,0,2,24,4,39,5,33,4,46,2,26,93,891,-47.7556,-121.506,0,0,-63.7475,-120.75,-47.1527,-162.712,-118.783,-116.866,-87.0715,-190.848,-23.7008,-103.935,-2117.34,-3991.41,1.42982842058953
3080,4785,49,1625,3228,3150,3077,2270,81816,283,13,301,536,441,409,282,37843,713.698,31.4455,1070.56,2730.82,3023.88,3047.82,2264.47,81813.6,117,6,51,146,100,73,55,5002,0.0046513,2,0,0,2,2,1,4,35,5,0,2,3,3,2,3,180,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08138,2.03984,0.0228479,0.0223918,0.805735,0.789651,1.85986,1.82273,2.0974,2.05553,2.25253,2.20757,1.79114,1.75539,134.941,132.247,393479,0.0031929,0.00382768,0,0,0,0,0,0,0,0,2,0,0,2,2,1,4,37,156,149,9,4,164,163,284,302,236,236,207,221,161,130,22677,22824,47,36,2,0,16,18,44,42,27,26,34,25,9,26,1524,1560,5,27,0,1,0,18,4,32,2,31,3,42,5,28,74,777,-139.186,-113.346,0,-6.92053,0,-88.1252,-126.353,-135.221,-63.4106,-131.859,-75.0141,-179.078,-98.9792,-113.92,-1746.27,-3473.97,0.989881214254289
3081,4785,49,1625,3229,3151,3076,2269,81816,263,13,301,528,429,396,263,36790,677.454,31.3432,1069.27,2722.04,3022.23,3046.2,2263.33,81813.6,105,6,68,121,88,85,48,4601,0.00420016,4,0,1,2,1,2,2,33,6,0,4,4,6,5,1,141,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00252,1.97621,0.0219775,0.0216888,0.775043,0.76486,1.78899,1.76548,2.01886,1.99234,2.16612,2.13766,1.72219,1.69956,129.801,128.095,448168,0.0032154,0.00369457,0,0,0,0,0,0,0,0,4,0,1,2,1,2,2,33,149,135,6,8,165,162,277,299,233,228,199,216,149,122,21857,22027,38,35,1,2,13,18,42,33,29,31,36,25,10,24,1366,1448,3,27,0,0,0,15,2,30,2,30,2,35,7,27,65,701,-55.8056,-117.436,0,0,0,-75.4565,-23.5695,-126.434,-23.7272,-130.897,-43.3598,-146.176,-142.596,-91.2385,-1399.81,-3156.8,1.42982842058953
3082,4785,49,1625,3229,3149,3079,2268,81816,242,11,296,527,414,385,257,35651,641.872,31.2102,1067.96,2712.15,3017.56,3048.51,2262.2,81813.5,98,4,64,113,79,82,38,4220,0.00378353,0,0,0,0,3,2,0,36,2,0,2,6,4,8,2,134,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95527,1.94497,0.0214589,0.0213459,0.756752,0.752766,1.74678,1.73758,1.97057,1.96019,2.11636,2.10521,1.68084,1.67199,126.738,126.07,518591,0.00325037,0.00362167,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,36,137,123,6,6,160,163,275,300,228,218,190,213,147,118,21008,21208,31,25,0,2,10,22,31,46,23,23,29,22,6,22,1249,1263,6,30,0,0,1,14,4,28,3,29,3,35,6,24,67,628,-111.949,-129.171,0,0,-12.277,-70.5874,-86.9147,-114.349,-75.1161,-137.803,-55.5527,-156.889,-150.523,-71.2996,-1485.52,-2812.04,1.31984161900572
3083,4785,49,1625,3230,3149,3078,2268,81816,235,8,293,521,400,375,257,34556,607.016,31.0398,1066.61,2703.25,3014.84,3046.86,2262.06,81813.5,90,3,58,119,69,75,45,3854,0.00335991,0,0,0,2,3,4,1,25,4,0,1,4,4,9,1,122,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94686,1.93246,0.0213667,0.0212086,0.7535,0.747925,1.73985,1.72698,1.96087,1.94636,2.10727,2.09168,1.67362,1.66123,126.192,125.258,609546,0.00329947,0.00360226,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,25,133,118,4,6,157,163,273,295,219,212,189,204,145,119,20253,20411,37,31,0,1,13,20,39,41,20,23,26,28,10,21,1139,1178,4,20,0,2,1,11,2,25,4,24,3,32,2,24,69,563,-127.774,-80.7401,0,-11.5952,-32.077,-56.2285,-63.3452,-111.78,-67.6231,-97.5889,-55.9806,-149.428,-63.4056,-86.0858,-1490.19,-2454.54,1.26484821821381
3084,4785,49,1625,3229,3149,3079,2268,81816,222,10,294,513,393,358,253,33495,572.911,30.8245,1065.16,2692.39,3012.06,3047.18,2261.92,81813.4,92,3,67,116,60,59,39,3481,0.00305237,0,0,0,1,1,3,0,20,1,0,0,6,5,2,4,138,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96443,1.94685,0.0215595,0.0213666,0.760307,0.753502,1.75556,1.73985,1.97917,1.96146,2.12627,2.10724,1.68873,1.67361,127.332,126.192,727339,0.00336545,0.00363194,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,21,125,112,7,3,158,165,270,289,217,207,177,197,144,117,19556,19611,29,27,2,1,13,21,32,37,22,19,19,17,9,16,1059,1114,0,16,0,0,0,10,2,24,6,23,6,31,1,24,61,503,0,-64.6574,0,0,0,-64.2213,-23.8508,-105.046,-131.124,-74.8193,-111.273,-131.139,-11.7407,-95.6649,-1453.66,-2183.51,0.989881214254289
3085,4785,49,1625,3229,3148,3080,2268,81816,207,12,297,508,378,346,248,32494,539.645,30.5565,1063.6,2682.56,3008.27,3047.5,2261.77,81813.4,78,3,68,119,59,53,35,3212,0.00278818,1,0,0,3,1,1,0,25,3,0,1,5,5,4,1,128,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99503,1.99796,0.0218953,0.0219275,0.772139,0.773272,1.78232,1.78494,2.00933,2.01227,2.16007,2.16324,1.71502,1.71754,129.315,129.505,880189,0.00345219,0.00370781,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,25,116,106,6,6,162,163,267,286,205,203,174,187,140,115,18881,18909,28,25,1,1,13,22,24,37,19,21,23,19,9,18,966,1024,0,12,0,1,0,6,3,21,4,20,7,30,1,22,45,446,0,-47.9704,0,-3.67795,0,-38.2028,-75.3651,-90.3746,-107.222,-59.9545,-162.97,-120.36,-31.5407,-98.8475,-1041.15,-1930.49,1.04487461504619
